,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
094668,EMEFM DERVILLE ALLEGRETTI PROF,JACANA/TREMEMBE,SANTANA,4,2,4,"3,8","4,1","4,1","4,4","4,7","5,1","5,4"
019704,EMEF PRIMO PASCOLI MELARE PROF,FREGUESIA/BRASILANDIA,BRASILANDIA,4,2,4,"4,0","4,2","4,2","4,5","4,7","5,0","5,2"
017442,EMEFM ANTONIO SAMPAIO VEREADOR,JACANA/TREMEMBE,SANTANA,4,2,4,"4,1","3,4","4,4","4,7","4,9","5,2","5,5"
000566,EMEF TERESA MARGARIDA DA SILVA E ORTA,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"4,2","4,3","4,5","4,7","5,0","5,2","5,5"
093831,EMEF ANTONIA E ARTUR BEGBIE,SAO MIGUEL,VILA CURUCA,4,2,4,"4,3","4,1","4,5","4,8","5,0","5,3","5,5"
093939,EMEF SUD MENNUCCI,SAO MIGUEL,ITAIM PAULISTA,4,2,4,"4,3","4,2","4,5","4,8","5,0","5,3","5,5"
008834,EMEF IDEMIA DE GODOI PROFA,GUAIANASES,LAJEADO,4,2,4,"4,4","3,7","4,6","4,8","5,1","5,3","5,5"
019362,CEU EMEF VILA DO SOL,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"4,4","4,8","4,6","4,8","5,1","5,3","5,6"
093378,EMEF MANOEL DE ABREU DR,CAPELA DO SOCORRO,GRAJAU,4,2,4,"4,4","4,7","4,7","4,9","5,1","5,4","5,6"
099139,EMEF VIRGILIO DE MELLO FRANCO,SAO MIGUEL,JARDIM HELENA,4,2,4,"4,4","4,3","4,7","4,9","5,2","5,5","5,8"
019391,CEU EMEF ALTO ALEGRE,SAO MATEUS,IGUATEMI,4,2,4,"4,5","4,2","4,7","4,9","5,1","5,4","5,6"
019257,EMEF ALDO DA TOFORI PADRE,SANTO AMARO,PEDREIRA,4,2,4,"4,5","4,6","4,7","4,9","5,1","5,4","5,6"
019265,CEU EMEF JAMBEIRO,GUAIANASES,LAJEADO,4,2,4,"4,5","4,2","4,7","5,0","5,2","5,4","5,7"
093815,EMEF ALEXANDRE DE GUSMAO,GUAIANASES,LAJEADO,4,2,4,"4,5","4,4","4,8","5,0","5,2","5,4","5,6"
093254,EMEF JOAO SUSSUMU HIRATA DEPUTADO,SANTO AMARO,PEDREIRA,4,2,4,"4,6","4,1","4,8","5,0","5,3","5,5","5,8"
094323,EMEF ELIAS DE SIQUEIRA CAVALCANTI DR,FREGUESIA/BRASILANDIA,FREGUESIA DO O,4,2,4,"4,6","4,1","4,8","5,0","5,3","5,5","5,8"
019274,EMEF CANDIDA DORA PINO PRETINI PROFA,SAO MATEUS,SAO RAFAEL,4,2,4,"4,6","5,5","4,8","5,1","5,3","5,6","5,9"
093092,EMEF FAGUNDES VARELLA,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"4,6","4,8","4,8","5,0","5,3","5,5","5,8"
094072,EMEF WANY SALGADO ROCHA PROFA,PENHA,PONTE RASA,4,2,4,"4,6","4,3","4,8","5,0","5,3","5,5","5,7"
019428,EMEF CAMPO LIMPO I,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"4,6","4,7","4,8","5,0","5,2","5,5","5,7"
092894,EMEF MARIO MARQUES OLIVEIRA PROF,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"4,6","4,3","4,8","5,1","5,3","5,5","5,7"
092924,EMEF MARIO RANGEL CORONEL,CAMPO LIMPO,CAPAO REDONDO,4,2,4,"4,7","5,0","4,9","5,1","5,4","5,6","5,9"
097713,EMEF JOSE PEDRO LEITE CORDEIRO DR,SAO MIGUEL,ITAIM PAULISTA,4,2,4,"4,7","5,3","4,9","5,1","5,4","5,6","5,8"
093483,EMEF HAROLDO VELOSO BRIGADEIRO,ITAQUERA,ITAQUERA,4,2,4,"4,7","4,5","4,9","5,1","5,3","5,5","5,7"
092908,EMEF CLEMENTE PASTORE PROF,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"4,7","3,8","4,9","5,1","5,4","5,6","5,8"
094595,EMEF SILVIO PORTUGAL DESEMBARGADOR,PIRITUBA,PIRITUBA,4,2,4,"4,7","4,5","4,9","5,1","5,3","5,6","5,8"
094170,EMEF PLINIO AYROSA,FREGUESIA/BRASILANDIA,FREGUESIA DO O,4,2,4,"4,7","5,0","4,9","5,1","5,4","5,6","5,9"
093637,EMEFM OSWALDO ARANHA BANDEIRA DE MELLO,GUAIANASES,CIDADE TIRADENTES,4,2,4,"4,7","4,7","4,9","5,2","5,4","5,7","5,9"
019640,EMEF JARDIM DA CONQUISTA II,SAO MATEUS,IGUATEMI,4,2,4,"4,8","4,7","5,0","5,2","5,4","5,6","5,8"
094439,EMEF LEOPOLDINA IMPERATRIZ,PIRITUBA,PIRITUBA,4,2,4,"4,8","4,7","5,0","5,2","5,5","5,7","5,9"
095401,EMEF PRUDENTE DE MORAIS PRESIDENTE,IPIRANGA,SAO LUCAS,4,2,4,"4,8","5,1","5,0","5,2","5,5","5,7","5,9"
