,,,,,,,IDEP,,META,,,,
009156,EMEF LUIS CARLOS PRESTES SENADOR,GUAIANASES,CIDADE TIRADENTES,4,2,4,"4,8",*,"5,0","5,2","5,5","5,7","5,9"
092878,EMEF CAROLINA RENNO R OLIVEIRA PROFA,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"4,8","5,3","5,0","5,3","5,5","5,7","6,0"
094234,EMEF THEO DUTRA,FREGUESIA/BRASILANDIA,BRASILANDIA,4,2,4,"4,8","5,0","5,0","5,3","5,5","5,7","5,9"
093017,EMEF ADHEMAR DE BARROS PREFEITO,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"4,8","4,9","5,1","5,3","5,5","5,8","6,0"
010162,EMEF LORENCO MANOEL SPARAPAN,CAMPO LIMPO,JARDIM SAO LUIS,4,2,4,"4,9","4,4","5,1","5,3","5,6","5,8","6,1"
093751,EMEF PAULO ROLIM LOUREIRO DOM,SAO MIGUEL,SAO MIGUEL,4,2,4,"4,9","4,6","5,1","5,3","5,6","5,8","6,0"
019437,EMEF DIAS GOMES,GUAIANASES,LAJEADO,4,2,4,"4,9","4,6","5,1","5,3","5,5","5,7","5,9"
019308,EMEF HERMES FERREIRA DE SOUZA,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"4,9","5,0","5,1","5,3","5,5","5,7","5,9"
094196,EMEF ERICO VERISSIMO,FREGUESIA/BRASILANDIA,FREGUESIA DO O,4,2,4,"4,9","5,5","5,1","5,3","5,5","5,7","6,0"
099112,EMEF PRACINHAS DA FEB,CAMPO LIMPO,JARDIM SAO LUIS,4,2,4,"4,9","4,6","5,1","5,3","5,5","5,8","6,0"
019363,CEU EMEF JARDIM PAULISTANO,FREGUESIA/BRASILANDIA,BRASILANDIA,4,2,4,"4,9","4,3","5,1","5,3","5,5","5,7","5,9"
019227,CEU EMEF CONCEICAO APARECIDA DE JESUS PROFA,ITAQUERA,ITAQUERA,4,2,4,"4,9","4,0","5,1","5,3","5,5","5,8","6,0"
019361,CEU EMEF CANTOS DO AMANHECER,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"4,9","4,6","5,1","5,3","5,5","5,8","6,0"
092835,EMEF ESPIRIDIAO ROSAS MARECHAL,PIRITUBA,JAGUARE,4,2,4,"4,9","4,6","5,1","5,4","5,6","5,9","6,2"
093505,EMEF BENEDITO CALIXTO,ITAQUERA,JOSE BONIFACIO,4,2,4,"4,9","4,4","5,1","5,3","5,5","5,7","6,0"
093904,EMEF CAPISTRANO DE ABREU,SAO MIGUEL,JARDIM HELENA,4,2,4,"4,9","4,9","5,1","5,3","5,6","5,8","6,1"
094455,EMEF VICENTE DE PAULO DALE COUTINHO GENERAL,PIRITUBA,JARAGUA,4,2,4,"4,9","4,2","5,1","5,4","5,6","5,8","6,1"
095150,EMEF ROQUETTE PINTO,ITAQUERA,ARICANDUVA,4,2,4,"4,9","4,6","5,1","5,3","5,5","5,7","6,0"
019261,CEU EMEF PAULO GOMES CARDIM PROF DR,ITAQUERA,CIDADE LIDER,4,2,4,"4,9","4,2","5,1","5,4","5,6","5,8","6,1"
094056,EMEF JENNY GOMES DONA,PENHA,ARTUR ALVIM,4,2,4,"4,9","4,1","5,2","5,4","5,6","5,8","6,0"
010138,EMEF ELZA MAIA COSTA FREIRE PROFA,SANTO AMARO,CIDADE ADEMAR,4,2,4,"4,9","4,1","5,2","5,4","5,6","5,8","6,1"
093769,EMEF PEDRO DE FRONTIN ALMIRANTE,SAO MIGUEL,SAO MIGUEL,4,2,4,"4,9","4,7","5,2","5,4","5,6","5,8","6,0"
094536,EMEF JAIRO RAMOS,PIRITUBA,SAO DOMINGOS,4,2,4,"5,0","4,8","5,2","5,4","5,6","5,8","6,0"
094251,EMEF SEBASTIAO NOGUEIRA DE LIMA DESEMBARGADOR,FREGUESIA/BRASILANDIA,BRASILANDIA,4,2,4,"5,0","4,8","5,2","5,4","5,6","5,9","6,1"
093050,EMEF SYNESIO ROCHA MINISTRO,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"5,0","4,2","5,2","5,4","5,6","5,8","6,0"
095117,EMEF KENNEDY PRESIDENTE,ITAQUERA,VILA FORMOSA,4,2,4,"5,0","4,7","5,2","5,4","5,6","5,9","6,1"
019313,CEU EMEF MANOEL VIEIRA DE QUEIROZ FILHO,CAPELA DO SOCORRO,PARELHEIROS,4,2,4,"5,0","4,6","5,2","5,4","5,6","5,8","6,1"
092762,EMEF JOAO XXIII,BUTANTA,RAPOSO TAVARES,4,2,4,"5,0","4,8","5,2","5,4","5,6","5,8","6,1"
093343,EMEF OLEGARIO MARIANO,CAPELA DO SOCORRO,CIDADE DUTRA,4,2,4,"5,0","4,4","5,2","5,4","5,6","5,9","6,1"
019333,CEU EMEF AGUA AZUL,GUAIANASES,CIDADE TIRADENTES,4,2,4,"5,0","4,7","5,2","5,4","5,6","5,8","6,0"
010154,EMEF MAURO FACCIO GONCALVES ZACARIA,CAMPO LIMPO,JARDIM SAO LUIS,4,2,4,"5,0","5,8","5,2","5,4","5,7","5,9","6,1"
094897,EMEF OCTAVIO PEREIRA LOPES,JACANA/TREMEMBE,JACANA,4,2,4,"5,0","4,9","5,2","5,4","5,6","5,8","6,1"
093572,EMEF COELHO NETO,SAO MATEUS,IGUATEMI,4,2,4,"5,0","4,6","5,2","5,4","5,7","5,9","6,1"
099791,EMEF PLINIO SALGADO,CAPELA DO SOCORRO,GRAJAU,4,2,4,"5,0","5,3","5,2","5,4","5,6","5,9","6,1"
093599,EMEF JOSE MARIA WHITAKER,SAO MATEUS,SAO MATEUS,4,2,4,"5,0","4,8","5,2","5,4","5,6","5,9","6,1"
094307,EMEF FREDERICO G SANTOS TENENTE AVIADOR,FREGUESIA/BRASILANDIA,CACHOEIRINHA,4,2,4,"5,0","4,7","5,2","5,4","5,6","5,8","6,1"
094927,EMEF MARIA HELENA FARIA LIMA PROFA,JACANA/TREMEMBE,VILA MEDEIROS,4,2,4,"5,0","4,4","5,2","5,4","5,7","5,9","6,1"
095346,EMEF QUEIROZ FILHO PROF,IPIRANGA,VILA PRUDENTE,4,2,4,"5,0","5,0","5,3","5,5","5,8","6,0","6,3"
094609,EMEFM ANTONIO ALVES VERISSIMO,PIRITUBA,JARAGUA,4,2,4,"5,0","4,9","5,2","5,4","5,6","5,9","6,1"
094111,EMEF LUIS WASHINGTON VITA,PENHA,PONTE RASA,4,2,4,"5,0","3,9","5,2","5,5","5,7","5,9","6,1"
093076,EMEF PAULO COLOMBO P QUEIROZ DESEMBARGADOR,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"5,0","4,8","5,3","5,5","5,7","5,9","6,2"
093041,EMEF LEONARDO VILLAS BOAS,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"5,0","4,7","5,3","5,5","5,7","6,0","6,2"
019276,CEU EMEF TRES LAGOS,CAPELA DO SOCORRO,GRAJAU,4,2,4,"5,0","4,6","5,2","5,5","5,7","5,9","6,1"
095435,EMEF ALTINO ARANTES,IPIRANGA,SAO LUCAS,4,2,4,"5,1","4,7","5,3","5,5","5,7","5,9","6,1"
094404,EMEF MONTEIRO LOBATO,PIRITUBA,PIRITUBA,4,2,4,"5,1","4,5","5,3","5,6","5,8","6,1","6,3"
093921,EMEF EZEQUIEL RAMOS JUNIOR,SAO MIGUEL,ITAIM PAULISTA,4,2,4,"5,1","5,2","5,3","5,5","5,7","6,0","6,2"
094358,EMEF ANGELINA MAFFEI VITA DONA,FREGUESIA/BRASILANDIA,CASA VERDE,4,2,4,"5,1","4,2","5,3","5,5","5,7","6,0","6,2"
099091,EMEF HIPOLITO JOSE DA COSTA,JACANA/TREMEMBE,TREMEMBE,4,2,4,"5,1","4,4","5,3","5,5","5,8","6,0","6,2"
093181,EMEFM LINNEU PRESTES PROF,SANTO AMARO,SANTO AMARO,4,2,4,"5,1","4,3","5,3","5,5","5,8","6,0","6,2"
094137,EMEF CECILIA MEIRELES,PENHA,CANGAIBA,4,2,4,"5,1","4,8","5,3","5,5","5,7","5,9","6,1"
019226,CEU EMEF MARIA CLARA MACHADO,SAO MIGUEL,ITAIM PAULISTA,4,2,4,"5,1","4,9","5,3","5,5","5,7","5,9","6,1"
019243,EMEF MARINA MELANDER COUTINHO PROFA,CAPELA DO SOCORRO,CIDADE DUTRA,4,2,4,"5,1","4,6","5,3","5,6","5,8","6,1","6,3"
092720,EMEF ARTUR WHITAKER DESEMBARGADOR,BUTANTA,VILA SONIA,4,2,4,"5,1","4,2","5,3","5,5","5,7","5,9","6,2"
093360,EMEF ELIZA RACHEL M SOUZA PROFA,CAPELA DO SOCORRO,GRAJAU,4,2,4,"5,1","5,3","5,3","5,6","5,8","6,0","6,3"
095214,EMEF BERNARDO O'HIGGINS,SANTO AMARO,CAMPO BELO,4,2,4,"5,2","4,6","5,4","5,6","5,8","6,1","6,3"
093785,EMEF JOAO RIBEIRO DE BARROS,GUAIANASES,LAJEADO,4,2,4,"5,2","5,0","5,4","5,6","5,8","6,0","6,2"
095273,EMEF CACILDA BECKER,SANTO AMARO,JABAQUARA,4,2,4,"5,2","5,8","5,4","5,6","5,8","6,0","6,3"
093963,EMEF JOAO PINHEIRO PRESIDENTE,PENHA,VILA MATILDE,4,2,4,"5,2","5,3","5,4","5,6","5,9","6,1","6,3"
093947,EMEF OTHELO FRANCO GENERAL,PENHA,TATUAPE,4,2,4,"5,2","4,9","5,4","5,6","5,9","6,1","6,3"
019271,CEU EMEF PERA MARMELO,PIRITUBA,JARAGUA,4,2,4,"5,2","4,8","5,4","5,6","5,8","6,1","6,3"
095265,EMEF ARMANDO ARRUDA PEREIRA,SANTO AMARO,JABAQUARA,4,2,4,"5,2","4,8","5,4","5,6","5,8","6,0","6,2"
018546,EMEF DAMIAO FREI,CAPELA DO SOCORRO,GRAJAU,4,2,4,"5,3","5,0","5,5","5,7","5,9","6,1","6,4"
093441,EMEF CARLOS CHAGAS,ITAQUERA,CIDADE LIDER,4,2,4,"5,3","5,0","5,5","5,7","5,8","6,0","6,2"
093696,EMEF EPITACIO PESSOA PRESIDENTE,SAO MIGUEL,VILA JACUI,4,2,4,"5,3","4,9","5,5","5,7","5,9","6,1","6,3"
095362,EMEF BARAO DE MAUA,PENHA,AGUA RASA,4,2,4,"5,3","4,6","5,5","5,8","6,0","6,3","6,5"
094153,EMEF ARTHUR AZEVEDO,PENHA,TATUAPE,4,2,4,"5,3","5,3","5,5","5,7","5,9","6,1","6,4"
019500,EMEF HERBERT DE SOUZA - BETINHO,CAMPO LIMPO,CAPAO REDONDO,4,2,4,"5,3","4,4","5,5","5,8","6,0","6,2","6,5"
018210,EMEFM DARCY RIBEIRO,SAO MIGUEL,SAO MIGUEL,4,2,4,"5,4","4,9","5,5","5,7","5,9","6,2","6,4"
093335,EMEF JOAO DE DEUS CARDOSO MELLO,CAPELA DO SOCORRO,CIDADE DUTRA,4,2,4,"5,4","4,6","5,6","5,8","6,0","6,2","6,4"
093033,EMEF MAURICIO SIMAO,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"5,4","5,5","5,6","5,8","6,0","6,3","6,5"
094579,EMEF JOSE FERRAZ DE CAMPOS PROF,PIRITUBA,JAGUARA,4,2,4,"5,4","4,9","5,6","5,8","6,0","6,2","6,4"
093424,EMEF MIGUEL VIEIRA FERREIRA DR,CAPELA DO SOCORRO,CIDADE DUTRA,4,2,4,"5,4","5,4","5,6","5,8","6,1","6,3","6,5"
092916,EMEF ANTONIO ESTANISLAU AMARAL,CAMPO LIMPO,JARDIM ANGELA,4,2,4,"5,4","4,6","5,6","5,8","6,0","6,3","6,5"
099236,EMEF MODESTO SCAGLIUSI,CAMPO LIMPO,CAMPO LIMPO,4,2,4,"5,4","4,8","5,7","5,9","6,1","6,3","6,6"
094501,EMEF PAULO PRADO,PIRITUBA,ANHANGUERA,4,2,4,"5,5","4,7","5,7","5,9","6,1","6,3","6,6"
019278,CEU EMEF VILA CURUCA,SAO MIGUEL,VILA CURUCA,4,2,4,"5,5","5,1","5,7","5,9","6,1","6,3","6,5"
017272,EMEFM GUIOMAR CABRAL,PIRITUBA,PIRITUBA,4,2,4,"5,5","6,0","5,7","5,9","6,1","6,3","6,5"
095079,EMEF FABIO DA SILVA PRADO DR,PENHA,MOOCA,4,2,4,"5,5","4,7","5,7","5,9","6,1","6,3","6,5"
094765,EMEF MAXIMO DE MOURA SANTOS PROF,JACANA/TREMEMBE,SANTANA,4,2,4,"5,6","5,8","5,8","6,0","6,2","6,4","6,6"
000302,EMEF HELIO FRANCO CHAVES CORONEL,JACANA/TREMEMBE,TREMEMBE,4,2,4,"5,6","6,3","5,8","6,0","6,2","6,4","6,7"
093912,EMEF CARLOS PASQUALE PROF,SAO MIGUEL,ITAIM PAULISTA,4,2,4,"5,7","5,0","5,9","6,0","6,2","6,4","6,6"
095311,EMEF JEAN MERMOZ,IPIRANGA,SAUDE,4,2,4,"5,7","4,9","5,9","6,1","6,3","6,5","6,7"
019365,CEU EMEF ROSANGELA RODRIGUES VIEIRA PROFA,PENHA,CANGAIBA,4,2,4,"5,8","5,9","6,0","6,2","6,3","6,5","6,7"
093670,EMEF AMADEU AMARAL,PENHA,PONTE RASA,4,2,4,"5,8","5,5","6,0","6,2","6,4","6,6","6,8"
095036,EMEF LEAO MACHADO PROF,IPIRANGA,SACOMA,4,2,4,"5,9","5,3","6,0","6,2","6,4","6,6","6,8"
019303,CEU EMEF CASA BLANCA,CAMPO LIMPO,JARDIM SAO LUIS,4,2,4,"6,0","5,9","6,2","6,4","6,6","6,8","7,0"
019291,EMEF VARGEM GRANDE,CAPELA DO SOCORRO,PARELHEIROS,4,2,4,*,*,*,*,*,*,*
