,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
094021,EMEF VISCONDE DE CAIRU,PENHA,VILA MATILDE,5,1,5,"4,7","4,8","4,9","5,0","5,1","5,3","5,4"
094129,EMEF GUILHERME DE ALMEIDA,PENHA,CANGAIBA,5,1,5,"4,7","5,1","4,9","5,0","5,2","5,3","5,5"
092797,EMEF JULIO DE MESQUITA,BUTANTA,BUTANTA,5,1,5,"4,9","5,0","5,0","5,1","5,2","5,3","5,4"
094552,EMEF AMADEU MENDES PROF,PIRITUBA,SAO DOMINGOS,5,1,5,"4,9","5,7","5,1","5,2","5,3","5,5","5,6"
019263,CEU EMEF CIDADE DUTRA,CAPELA DO SOCORRO,CIDADE DUTRA,5,1,5,"5,3","5,2","5,4","5,5","5,6","5,8","5,9"
093220,EMEF ANTONIO CARLOS ABREU SODRE DR,SANTO AMARO,CAMPO GRANDE,5,1,5,"5,3","5,5","5,4","5,5","5,6","5,7","5,8"
093173,EMEF JOAQUIM CANDIDO A MARQUES DESEMBARGADOR,SANTO AMARO,SANTO AMARO,5,1,5,"5,3","6,0","5,5","5,6","5,7","5,9","6,0"
093319,EMEF ALMEIDA JUNIOR PROF,CAPELA DO SOCORRO,SOCORRO,5,1,5,"5,4","5,9","5,5","5,7","5,9","6,0","6,2"
019397,EMEF GILMAR TACCOLA PROF,ITAQUERA,CARRAO,5,1,5,"5,4","5,2","5,5","5,7","5,8","5,9","6,0"
095184,EMEF SERGIO MILLIET,ITAQUERA,ARICANDUVA,5,1,5,"5,5","5,3","5,7","5,8","5,9","6,0","6,2"
092690,EMEF AMORIM LIMA DESEMBARGADOR,BUTANTA,BUTANTA,5,1,5,"5,6","5,5","5,8","5,9","6,1","6,2","6,4"
093203,EMEF LAERTE RAMOS CARVALHO PROF,SANTO AMARO,CAMPO GRANDE,5,1,5,"5,6","6,1","5,7","5,8","5,9","6,0","6,0"
093301,EMEF HEITOR DE ANDRADE,CAPELA DO SOCORRO,SOCORRO,5,1,5,"5,9","5,5","6,0","6,2","6,3","6,5","6,7"
094749,EMEF MARTIN FRANCISCO RIBEIRO DE ANDRADA,JACANA/TREMEMBE,TUCURUVI,5,1,5,"5,9","4,8","5,9","6,0","6,1","6,1","6,2"
094790,EMEF HELENA LOMBARDI BRAGA PROFA,JACANA/TREMEMBE,VILA GUILHERME,5,1,5,"6,7","6,5","6,8","6,9","7,0","7,1","7,2"
