,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
092711,EMEF DEODORO DA FONSECA MAL,BUTANTA,BUTANTA,5,2,6,"5,5","5,0","5,7","5,8","6,0","6,2","6,4"
093742,EMEF LUIS SAIA ARQUITETO,SAO MIGUEL,SAO MIGUEL,5,2,6,"5,2","4,7","5,4","5,6","5,8","6,0","6,2"
093955,EMEF JACKSON DE FIGUEIREDO,PENHA,TATUAPE,5,2,6,"5,6","5,5","5,8","6,0","6,2","6,4","6,6"
