,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
092711,EMEF DEODORO DA FONSECA MAL,BUTANTA,BUTANTA,5,2,6,"5,4","5,6","5,5","5,6","5,7","5,8","5,9"
093742,EMEF LUIS SAIA ARQUITETO,SAO MIGUEL,SAO MIGUEL,5,2,6,"5,6","5,5","5,7","5,8","5,9","6,1","6,2"
093955,EMEF JACKSON DE FIGUEIREDO,PENHA,TATUAPE,5,2,6,"4,9","4,5","5,1","5,3","5,5","5,7","5,8"
